datetime,open,high,low,close,volume,trades,taker_buy,taker_sell,RSI,ATR
2020-02-02,183.8,193.7,179.0,188.59,907342.798,136351,466111.723,441231.07499999995,70.05397357156154,8.329285714285712
2020-02-03,188.64,195.45,186.65,189.92,652054.538,91435,316307.928,335746.6099999999,70.79019073569482,8.38785714285714
2020-02-04,189.89,191.76,184.71,189.01,614290.379,80668,291973.564,322316.81499999994,68.22517299420235,8.511428571428567
2020-02-05,189.0,208.18,188.26,204.1,902811.615,110642,471954.871,430856.744,76.70682730923697,9.542142857142853
2020-02-06,204.1,216.7,201.28,213.27,1254989.317,171238,610706.4,644282.917,85.33295869626303,10.002857142857138
2020-02-07,213.3,225.36,213.3,223.57,1054174.736,135137,517661.199,536513.537,87.55237860488049,10.228571428571424
2020-02-08,223.57,228.02,213.35,223.57,1090545.108,136512,543988.258,546556.85,89.88991522206759,10.904999999999998
2020-02-09,223.57,230.9,223.5,228.64,969021.787,120637,482868.547,486153.24,89.58550573514079,10.814999999999998
2020-02-10,228.71,229.96,217.32,223.03,1175671.024,160175,558120.984,617550.0399999999,83.00424893776558,11.219285714285714
2020-02-11,223.04,239.98,218.64,237.16,1194286.448,165529,602437.545,591848.903,84.62929475587705,12.280000000000001
2020-02-12,237.17,277.97,237.17,266.24,2223807.477,334904,1114986.26,1108821.217,90.02424662279184,14.798571428571433
2020-02-13,266.26,278.8,256.2,268.48,2386998.02,373205,1154240.28,1232757.74,89.17089678511,15.246428571428577
2020-02-14,268.48,287.58,260.53,285.4,1447161.175,239287,734046.309,713114.866,94.48858833474219,16.40428571428572
2020-02-15,285.4,289.0,262.41,265.08,1925220.413,300463,912474.572,1012745.8409999999,80.10967837557433,17.934285714285718
2020-02-16,265.16,274.3,237.86,258.87,2297491.401,379609,1101439.466,1196051.935,75.76624138436722,19.48714285714286
2020-02-17,258.87,268.81,242.32,268.0,2129022.892,384716,1063497.823,1065525.069,77.07726453044808,20.75071428571429
2020-02-18,267.99,286.48,258.78,282.96,1885124.383,295234,943749.819,941374.5639999999,79.68779624597107,22.225714285714297
2020-02-19,282.96,286.7,250.0,258.43,1677778.697,276538,782917.559,894861.1379999999,66.20146716765075,23.424285714285723
2020-02-20,258.39,264.32,245.91,257.11,1618473.989,371065,790782.295,827691.694,63.71542985859092,23.637857142857147
2020-02-21,257.18,268.5,253.89,265.44,985301.295,186008,485006.49,500294.80500000005,63.26259106746913,23.817857142857154
2020-02-22,265.45,267.16,256.23,261.83,752957.418,168666,369197.715,383759.7029999999,61.84813576117924,23.550714285714296
2020-02-23,261.82,275.84,261.5,274.67,940831.98,195861,489965.233,450866.747,63.59983454470249,24.046428571428578
2020-02-24,274.66,277.26,257.5,265.7,1483265.023,292530,692233.134,791031.8890000001,62.361666376962745,24.555000000000007
2020-02-25,265.69,266.4,244.57,247.03,1563901.657,307867,753421.526,810480.1309999999,52.786089312934,24.59
2020-02-26,247.03,250.54,215.75,224.1,2729291.802,505295,1294649.229,1434642.573,37.676921277342366,24.16
2020-02-27,224.13,238.58,210.01,227.92,2374539.334,538634,1175706.614,1198832.7199999997,38.24756606397773,24.586428571428574
2020-02-28,227.93,234.93,214.25,227.09,2026863.186,416639,1002979.415,1023883.771,31.367035214418095,24.131428571428575
2020-02-29,227.04,233.33,217.14,217.31,1309444.25,239830,625224.35,684219.9,33.63256355787021,23.38857142857143
2020-03-01,217.37,228.0,212.33,218.01,1775078.523,319189,873539.551,901538.9720000001,35.450790485685786,21.905000000000005
2020-03-02,218.01,234.5,216.24,232.22,1604040.396,252090,804595.09,799445.306,37.70446735395189,21.317142857142862
2020-03-03,232.24,232.67,220.21,224.1,1544830.651,250480,748718.782,796111.8690000001,28.77542189528343,20.228571428571424
2020-03-04,224.1,229.0,220.45,224.47,1027175.512,164273,496362.497,530813.015,35.170305676855904,18.21785714285714
2020-03-05,224.43,234.26,224.43,228.64,1142530.928,190706,567305.418,575225.5100000001,37.86962079250105,17.604999999999997
2020-03-06,228.63,245.38,227.6,244.94,1307956.34,210885,663718.468,644237.8720000001,41.82093839770189,17.831428571428567
2020-03-07,244.97,251.8,236.3,237.34,1637057.953,262341,794974.814,842083.139,40.5305080813549,18.15785714285714
2020-03-08,237.36,237.38,195.35,199.54,3150036.792,435510,1469323.237,1680713.555,25.649834705386652,20.135714285714283
2020-03-09,199.54,208.65,190.02,203.02,3885205.704,558024,1909913.08,1975292.6239999998,28.93534077160909,20.055
2020-03-10,202.95,206.32,195.66,200.95,2008333.356,342612,968753.168,1039580.188,32.569223785746715,19.25714285714286
2020-03-11,200.9,203.26,181.88,194.81,2125322.09,377831,1026948.354,1098373.7359999998,37.30825894791577,18.299285714285713
2020-03-12,194.77,195.81,95.0,106.71,7116256.717,876766,3369170.276,3747086.441,19.647418240096172,23.45928571428571
2020-03-13,106.97,323.0,84.23,134.13,6584772.112,1143787,3275393.829,3309378.283,29.457261557500217,39.037142857142854
2020-03-14,134.1,134.67,121.16,122.55,1845475.252,291746,937461.574,908013.6780000001,29.224765412610722,38.84571428571428
2020-03-15,122.56,133.85,120.4,123.89,1802030.406,341902,907501.148,894529.2579999999,29.422824661128132,38.68714285714285
2020-03-16,123.87,124.4,100.11,111.06,3622097.906,633699,1871621.829,1750476.077,23.350343128629248,39.11785714285714
2020-03-17,111.04,121.55,109.34,115.68,2053691.349,432785,1051709.94,1001981.409,25.779644357072655,39.1
2020-03-18,115.67,118.59,109.78,118.16,1583517.464,367376,796605.638,786911.8259999999,26.472801310140312,39.11857142857143
2020-03-19,118.12,143.34,115.5,136.42,2098800.654,422407,1077019.514,1021781.1400000001,30.789100908257637,40.40499999999999
2020-03-20,136.42,152.68,116.67,133.52,3128620.956,607243,1539260.894,1589360.0619999997,25.416997617156483,41.707142857142856
2020-03-21,133.48,137.58,125.58,132.67,1933564.299,402245,985271.532,948292.7670000001,26.19729840360212,41.457142857142856
2020-03-22,132.64,137.2,121.0,122.25,1724360.751,362939,860046.035,864314.7159999999,29.92363239648813,39.61214285714285
2020-03-23,122.27,137.67,119.0,135.96,1950909.243,464331,1038397.939,912511.304,33.459944751381215,39.614999999999995
2020-03-24,135.96,143.44,132.41,138.38,1745190.832,517026,873953.807,871237.0249999999,34.593982370611116,39.64142857142857
2020-03-25,138.39,142.46,132.36,136.1,1448291.794,431364,747223.385,701068.409,35.26429396114652,38.83571428571429
2020-03-26,136.11,139.8,133.18,138.41,1069528.365,307363,569052.28,500476.08499999996,63.97460765297126,32.107857142857135
2020-03-27,138.36,141.44,129.16,131.27,1024307.98,277914,506564.725,517743.255,48.46467683057763,15.929999999999998
2020-03-28,131.24,132.93,124.52,130.95,1335630.33,342445,693938.306,641692.0240000001,55.129457743038586,15.565714285714288
2020-03-29,130.97,131.77,123.74,124.4,848667.965,218262,441943.126,406724.839,50.29280055115398,15.17857142857143
2020-03-30,124.42,135.13,123.93,132.04,1187536.733,266063,658190.215,529346.518,62.80830280830281,14.24357142857143
2020-03-31,132.07,135.0,130.33,132.61,896493.378,205235,479586.304,416907.074,60.873474630700066,13.705
2020-04-01,132.6,137.22,128.27,135.6,1143905.195,230834,605099.783,538805.412,61.128126595201635,13.715
2020-04-02,135.6,149.97,135.0,141.3,1694646.358,380867,882634.086,812012.272,53.70820668693011,12.795714285714284
2020-04-03,141.29,146.78,137.68,141.23,1307374.677,325138,671239.958,636134.7189999999,56.121962839447335,10.873571428571427
2020-04-04,141.2,146.14,138.79,144.02,977437.997,223233,511826.278,465611.719,58.742874749653375,10.541428571428568
2020-04-05,143.97,145.52,140.6,142.59,780295.149,172991,393417.598,386877.551,68.18669527896995,9.735714285714284
2020-04-06,142.59,171.99,142.51,171.15,2847455.204,562880,1534227.044,1313228.16,74.86222975837218,10.507857142857144
2020-04-07,171.15,176.16,162.13,164.55,3033756.235,701681,1541973.395,1491782.8399999999,67.45830553702469,10.722142857142858
2020-04-08,164.56,174.59,163.55,173.19,1871521.554,458894,943895.429,927626.125,72.80777272168244,10.789285714285715
2020-04-09,173.18,173.44,164.89,169.46,1307817.881,331023,641936.449,665881.432,68.76586486159798,10.927142857142858
2020-04-10,169.48,170.1,152.0,157.69,2238955.865,494548,1101861.291,1137094.5740000003,65.12133699633698,11.342857142857143
2020-04-11,157.69,161.25,153.78,158.19,1157138.069,276994,599473.392,557664.6769999999,65.5586017820425,11.275714285714285
2020-04-12,158.21,164.9,154.85,158.72,1402479.422,277592,741177.241,661302.181,71.05004906771343,11.42
2020-04-13,158.69,159.08,149.55,156.37,1787879.914,405320,903569.15,884310.7640000001,65.95828414010232,11.300714285714287
