datetime,open,high,low,close,volume,trades,taker_buy,taker_sell,RSI,ATR
2020-02-22,9681.39,9710.7,9565.0,9659.2,58419.547,137989,29109.51,29310.037,45.95795607263025,450.99285714285725
2020-02-23,9658.95,10018.9,9657.0,9943.12,97134.358,229104,49886.568,47247.78999999999,46.36083344151632,455.9721428571429
2020-02-24,9943.12,10000.0,9487.38,9662.95,157965.671,357670,73688.386,84277.285,46.68889215734342,459.4764285714287
2020-02-25,9662.88,9686.78,9247.0,9326.0,168641.725,370353,80606.877,88034.84800000001,35.11275964391693,442.27500000000026
2020-02-26,9326.0,9384.0,8610.0,8792.22,267005.172,594555,125256.227,141748.945,27.606522273825547,479.6378571428574
2020-02-27,8793.96,8978.0,8533.9,8828.0,200638.488,447761,99331.859,101306.62900000002,29.187295614917147,480.00214285714316
2020-02-28,8827.12,8908.86,8450.0,8699.57,196066.11,479621,97577.393,98488.71699999999,25.646654969419643,493.73285714285754
2020-02-29,8699.86,8799.83,8530.0,8531.98,103524.685,217411,49487.071,54037.613999999994,27.89497070265675,467.47428571428605
2020-03-01,8532.5,8762.24,8409.0,8537.84,174332.916,346326,85613.61,88719.306,27.8716831987107,461.71928571428595
2020-03-02,8537.84,8972.0,8504.95,8919.7,160294.484,330286,83302.183,76992.30099999999,37.94675562928745,458.71500000000015
2020-03-03,8919.7,8922.34,8657.41,8765.0,160123.605,331015,77472.254,82651.35100000001,26.50851435505598,429.6385714285716
2020-03-04,8765.0,8853.88,8669.23,8756.93,105462.12,219177,51814.453,53647.666999999994,32.762542026501464,371.90428571428583
2020-03-05,8755.98,9172.3,8755.98,9062.81,161840.623,305604,81304.772,80535.851,40.105263930587476,378.96928571428583
2020-03-06,9062.62,9179.75,8994.14,9139.48,115011.583,226911,56607.201,58404.382,40.04518985249005,377.042142857143
2020-03-07,9139.77,9204.0,8850.0,8897.18,125804.999,240352,59759.072,66045.927,37.04911011706483,391.9207142857144
2020-03-08,8895.62,8897.71,7997.7,8038.46,237407.028,443337,109247.103,128159.92499999999,22.92024477075492,430.35714285714295
2020-03-09,8038.99,8182.31,7635.21,7932.15,334399.107,630254,165620.727,168778.38,24.11229770558498,432.82000000000005
2020-03-10,7932.45,8156.31,7733.0,7897.66,257068.702,480453,127445.512,129623.18999999999,26.51096551814871,431.6435714285714
2020-03-11,7898.21,7988.0,7593.29,7938.39,220537.381,401429,109589.744,110947.63699999999,33.24108204868516,404.5514285714286
2020-03-12,7938.39,7969.0,4347.0,4764.65,784747.02,1559176,376597.666,408149.354,14.264733041941142,631.5442857142856
2020-03-13,4762.28,5971.0,3621.81,5570.26,935489.242,2491958,465297.838,470191.404,25.40828884107424,766.5678571428571
2020-03-14,5569.84,5638.42,5040.0,5167.01,316242.586,778184,157435.123,158807.46300000002,24.500810070640597,790.0385714285713
2020-03-15,5167.21,5954.47,5089.12,5357.32,356311.765,806813,184750.035,171561.73,26.553967186818113,826.6178571428571
2020-03-16,5354.81,5361.26,4413.62,5026.26,621555.792,1445469,318949.688,302606.104,21.081903313210063,860.9457142857144
